0971cc4f;9eab6b1f;Cosmic Wars (Bad Dump);18;0;8;16;JB;Konami
0973f714;0973f714;Jangou;16;0;16;0;J;Victor Ongaku Sangyou
09874777;09874777;Marble Madness;112;0;8;0;U;Milton Bradley
098c672a;6901346e;Sangokushi 2 - Haou no Tairiku;50;16;16;32;J;Namco
09948780;09948780;Goonies 2< - Fratelli Saigo no Chousen> (Bad Dump);33;0;8;0;JB;Konami
099b8caa;da40e4a2;<Mahjong RPG >Dora Dora Dora;16;0;8;16;J;Natsume
09a6ff02;09a6ff02;Pro Yakyuu Satsujin Jiken! (Mapper 2 Pirate);35;0;16;0;JM;Capcom
09c083b7;4c25d4f5;Track & Field 2;16;0;8;16;U;Konami
09c1fc7d;09c1fc7d;Mizushima Shinji no Dai Koushien;16;0;16;0;J;Capcom
09c31cd4;762c72ae;Galactic Crusader;176;0;2;4;UX;Bunch Games
09ffdf45;09ffdf45;Super Momotarou Dentetsu;18;0;16;0;J;Hudson Soft
0a0926bd;7884b56e;Motor City Patrol;16;0;8;16;U;Matchbox
0a3fc393;85534474;Lode Runner;1;0;1;1;J;Hudson Soft
0a42d84f;0a42d84f;Takeda Shingen;33;0;8;0;J;Hot B
0a6157c5;00000000;Mixed Up Mario Bros. (SMB1 Hack);1;0;2;1;GH
0a640eea;0a640eea;Pocket Zaurus< - Juu Ouken no Nazo> (FFE Hack);101;0;16;0;JM;Bandai
0a68452e;323b547d;Hiryuu no Ken 2< - Dragon no Tsubasa> (Hacked);16;0;8;16;JH;Culture Brain
0a686042;3951afec;Robocop 2;16;0;8;16;U;Data East
0a73a792;0a73a792;Mei Tantei Holmes - M Kara no Chousenjou;16;0;16;0;J;Towa Chiki
0a7e62d4;d5566edf;F-117a Stealth Fighter;65;0;16;32;U;Microprose
0ab26db6;3ced963a;Exodus (Ver 4.0);177;0;8;16;UX;Wisdom Tree
0abdd5ca;0abdd5ca;Spot;16;0;8;0;J;BPS
0ac1aa8f;0ac1aa8f;Castlevania (PRG 0);33;0;8;0;U;Konami
0ac65c40;d4c9a363;Parodius da! (FFE Pirate);20;16;8;16;JM;Konami
0ae3cc5e;73ff22a9;Home Run Nighter '90< - The Pennant League>;67;0;8;16;J;Data East
0ae6c9e2;0ae6c9e2;Castelian;33;0;8;0;U;Triffix
0afb395e;255b129c;Gun Sight;80;0;8;16;J;Konami
0b13658b;af16ee39;Hyokkori Hyoutan Jima< - Nazo no Kaizokusen>;16;0;8;16;J;Yutaka
0b3d7b44;00000000;Mighty Bomb Jack (Mapper 0 Hack) (Bad Dump);0;0;2;2;JMB;Tecmo
0b404915;c23a56da;Captain Planet and the Planeteers;65;0;8;16;U;Mindscape
0b58880c;d548307f;Ice Climber;0;0;1;1;JE;Nintendo
0b6443d4;702d9b33;Star Wars - The Empire Strikes Back;65;0;16;32;J;Victor Ongaku Sangyou
0b8e8649;0b8e8649;Hiryuu no Ken< - Ougi no Sho>;33;0;8;0;J;Culture Brain
0b8f8128;5460529a;Smash TV;65;0;8;16;E;Acclaim
0b9fa342;67c89f06;Super Mario Bros. 2 (PRG 0) (Bad PRG 2);65;0;8;16;UB;Nintendo
0bb5b3a0;a3a6184c;Family Block;33;64;8;4;J;Athena
0bbf80cb;4819a595;Kyuukyoku Harikiri Stadium< - Heisei Gannen Ban>;33;80;8;32;J;Taito
0bc73114;0bc73114;Fantasy Zone (Mapper 2 Hack) (Bad Dump 1);32;0;8;0;JMB;Sunsoft
0bcaa4d7;144a9380;F-15 Strike Eagle;64;0;16;32;U;Microprose
0bdd8dd9;0bdd8dd9;Jeopardy! 25th Anniversary Edition;112;0;8;0;U;GameTek
0be0a328;0be0a328;Datach - SD Gundam - Gundam Wars;0;16;16;0;J;Bandai
0bf306d1;e80b9027;Double Dragon 3< - The Rosetta Stone> (Pirate);64;0;8;16;JZ;Technos Japan
0c0fdca0;00000000;Super X-Wing 97 (Argus Hack);49;0;2;2;GH
0c1792da;429fd177;Famista '90;49;16;8;16;J;Namco
0c222495;626ae6d6;Action 52;65;224;96;64;UX;Active Enterprises
